XLA,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.95,160,0,2.36287,0.70711,0.05599,0.36388,0.05793,2.885058,3.215001,2.304932,2.573522,82.209212,0.565977,0.055029,0.328994,0.00879,0.0472
0.95,164,0,2.36287,0.70711,0.05579,0.3636,0.05768,2.892113,3.222274,2.311504,2.580263,84.21349,0.566448,0.0548,0.328752,0.00858,0.04721
0.95,168,0,2.36287,0.70711,0.05561,0.36332,0.05745,2.898847,3.229212,2.317778,2.586693,86.217572,0.566897,0.054581,0.328522,0.00839,0.04722
0.95,172,0,2.36287,0.70711,0.05543,0.36306,0.05723,2.905282,3.235836,2.323773,2.592833,88.22147,0.567326,0.054372,0.328302,0.0082,0.04723
0.95,176,0,2.36287,0.70711,0.05526,0.36281,0.05702,2.911437,3.242168,2.329507,2.598702,90.225196,0.567736,0.054172,0.328092,0.00802,0.04724
0.95,180,0,2.36287,0.70711,0.05509,0.36257,0.05682,2.917336,3.248233,2.335003,2.604324,92.229023,0.56813,0.05398,0.32789,0.00785,0.04725
0.95,184,0,2.36287,0.70711,0.05494,0.36235,0.05663,2.922983,3.254036,2.340265,2.609702,94.23249,0.568506,0.053797,0.327697,0.00768,0.04725
0.95,188,0,2.36287,0.70711,0.05479,0.36213,0.05644,2.9284,3.259599,2.345311,2.614858,96.235741,0.568867,0.053621,0.327512,0.00752,0.04726
0.95,192,0,2.36287,0.70711,0.05464,0.36192,0.05627,2.933599,3.264936,2.350155,2.619805,98.238938,0.569213,0.053452,0.327335,0.00737,0.04727
0.95,196,0,2.36287,0.70711,0.0545,0.36171,0.05609,2.938594,3.27006,2.354809,2.624554,100.242018,0.569546,0.05329,0.327164,0.00723,0.04727
0.95,200,0,2.36287,0.70711,0.05437,0.36152,0.05593,2.943395,3.274985,2.359283,2.629119,102.244873,0.569866,0.053134,0.327,0.00709,0.04728
0.95,4,-0.48891,1.4837,0.70711,0.22755,0.39422,0.2177,0.878997,1.182747,0.500772,0.673821,2.68643,0.369,0.206818,0.374182,0.18893,0.03862
0.95,8,-0.48891,1.4837,0.70711,0.16653,0.37322,0.161,1.133247,1.406802,0.67299,0.829645,4.782127,0.449031,0.152949,0.348019,0.12485,0.04167
