XLA,MU,THT,DT1,DT2,N,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.8,1,0.1,1,2,4,100,0,2.8059,0.70711,0.05954,0.42231,0.06298,2.00739,2.669423,1.489238,1.985506,52.099744,0.505514,0.050387,0.244099,0.01251,0.04702
0.8,1,0.1,1,2,4,104,0,2.8059,0.70711,0.0591,0.42175,0.06243,2.017676,2.681971,1.498528,1.99687,54.108844,0.506486,0.049941,0.243573,0.01206,0.04704
0.8,1,0.1,1,2,4,108,0,2.8059,0.70711,0.0587,0.42122,0.06191,2.027267,2.693642,1.507191,2.00744,56.117349,0.507391,0.049526,0.243083,0.01164,0.04706
0.8,1,0.1,1,2,4,112,0,2.8059,0.70711,0.05833,0.42073,0.06142,2.036228,2.704524,1.515288,2.017295,58.125282,0.508234,0.04914,0.242626,0.01124,0.04708
0.8,1,0.1,1,2,4,116,0,2.8059,0.70711,0.05798,0.42027,0.06097,2.044619,2.714692,1.52287,2.026505,60.132736,0.509023,0.048779,0.242198,0.01088,0.0471
0.8,1,0.1,1,2,4,120,0,2.8059,0.70711,0.05765,0.41984,0.06055,2.05249,2.724215,1.529984,2.03513,62.139705,0.509762,0.04844,0.241798,0.01053,0.04712
0.8,1,0.1,1,2,4,124,0,2.8059,0.70711,0.05734,0.41944,0.06015,2.059888,2.733151,1.536671,2.043223,64.14625,0.510456,0.048123,0.241421,0.01021,0.04713
0.8,1,0.1,1,2,4,128,0,2.8059,0.70711,0.05705,0.41906,0.05978,2.066853,2.741551,1.542968,2.050831,66.152456,0.511108,0.047824,0.241067,0.00991,0.04715
0.8,1,0.1,1,2,4,132,0,2.8059,0.70711,0.05678,0.4187,0.05943,2.073422,2.749463,1.548906,2.057997,68.158262,0.511723,0.047543,0.240734,0.00962,0.04716
0.8,1,0.1,1,2,4,136,0,2.8059,0.70711,0.05652,0.41837,0.0591,2.079626,2.756927,1.554515,2.064757,70.163806,0.512304,0.047278,0.240419,0.00935,0.04717
0.8,1,0.1,1,2,4,140,0,2.8059,0.70711,0.05628,0.41805,0.05878,2.085495,2.76398,1.559821,2.071146,72.168985,0.512852,0.047027,0.240121,0.00909,0.04719
0.8,1,0.1,1,2,4,144,0,2.8059,0.70711,0.05605,0.41774,0.05849,2.091058,2.770659,1.564852,2.077195,74.174063,0.513372,0.046789,0.239839,0.00885,0.0472
0.8,1,0.1,1,2,4,148,0,2.8059,0.70711,0.05583,0.41746,0.0582,2.096333,2.776986,1.569621,2.082926,76.17875,0.513865,0.046564,0.239571,0.00862,0.04721
0.8,1,0.1,1,2,4,152,0,2.8059,0.70711,0.05562,0.41719,0.05794,2.101343,2.782991,1.574152,2.088364,78.183249,0.514333,0.04635,0.239317,0.0084,0.04722
0.8,1,0.1,1,2,4,156,0,2.8059,0.70711,0.05543,0.41693,0.05768,2.106108,2.788698,1.578461,2.093533,80.187484,0.514778,0.046146,0.239076,0.0082,0.04723
0.8,1,0.1,1,2,4,160,0,2.8059,0.70711,0.05524,0.41668,0.05744,2.110646,2.794127,1.582564,2.098451,82.191514,0.515201,0.045953,0.238846,0.008,0.04724
0.8,1,0.1,1,2,4,164,0,2.8059,0.70711,0.05506,0.41645,0.05721,2.114971,2.7993,1.586476,2.103136,84.19535,0.515605,0.045768,0.238627,0.00781,0.04725
